"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 14 13:05:02 GMT 2023","Thu Dec 14 13:05:02 GMT 2023","148","","MainPageTest","","MainPageTest","checkTitleText","Check page title text",""
"passed","Thu Dec 14 13:05:01 GMT 2023","Thu Dec 14 13:05:02 GMT 2023","483","","ClickPageTest","","ClickPageTest","badButtonIsSucceedAfterClick","BadButton changed the class name",""
"passed","Thu Dec 14 13:05:01 GMT 2023","Thu Dec 14 13:05:01 GMT 2023","570","","ClickPageTest","","ClickPageTest","badButtonInitialState","BadButton button is in the initial state",""
"passed","Thu Dec 14 13:04:51 GMT 2023","Thu Dec 14 13:05:01 GMT 2023","9269","","ClickPageTest","","ClickPageTest","returnBackToMainPage","Return back to MainPage",""
"broken","Thu Dec 14 13:05:02 GMT 2023","Thu Dec 14 13:05:02 GMT 2023","435","","MainPageTest","","MainPageTest","checkClickElementInOverview","check ClickElement In the Overview@Test",""
