"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 17:57:09 GMT 2023","Sun Oct 15 17:57:10 GMT 2023","1103","","MainPageTest","","MainPageTest","checkClickElementInOverviewTest","checkClickElementInOverviewTest",""
"passed","Sun Oct 15 17:57:10 GMT 2023","Sun Oct 15 17:57:12 GMT 2023","1043","","ClickPageTest","","ClickPageTest","returnBackToMainPage","returnBackToMainPage",""
"passed","Sun Oct 15 17:57:12 GMT 2023","Sun Oct 15 17:57:13 GMT 2023","772","","ClickPageTest","","ClickPageTest","badButtonIsSucceedAfterClick","badButtonIsSucceedAfterClick",""
"passed","Sun Oct 15 17:57:05 GMT 2023","Sun Oct 15 17:57:09 GMT 2023","4754","","MainPageTest","","MainPageTest","checkTitleTextTest","checkTitleTextTest",""
"passed","Sun Oct 15 17:57:12 GMT 2023","Sun Oct 15 17:57:12 GMT 2023","681","","ClickPageTest","","ClickPageTest","badButtonInitialState","badButtonInitialState",""
