"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 18:16:50 GMT 2023","Sun Oct 15 18:16:51 GMT 2023","712","","MainPageTest","","MainPageTest","checkTitleText","Check page title text",""
"passed","Sun Oct 15 18:16:52 GMT 2023","Sun Oct 15 18:16:52 GMT 2023","597","","ClickPageTest","","ClickPageTest","badButtonIsSucceedAfterClick","BadButton changed the class name",""
"passed","Sun Oct 15 18:16:39 GMT 2023","Sun Oct 15 18:16:50 GMT 2023","10481","","MainPageTest","","MainPageTest","checkClickElementInOverview","check ClickElement In the Overview@Test",""
"passed","Sun Oct 15 18:16:51 GMT 2023","Sun Oct 15 18:16:51 GMT 2023","638","","ClickPageTest","","ClickPageTest","returnBackToMainPage","Return back to MainPage",""
"passed","Sun Oct 15 18:16:51 GMT 2023","Sun Oct 15 18:16:52 GMT 2023","512","","ClickPageTest","","ClickPageTest","badButtonInitialState","BadButton button is in the initial state",""
