"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 15:31:03 GMT 2023","Mon Oct 16 15:31:12 GMT 2023","8431","","MainPageTest","","MainPageTest","checkClickElementInOverview","check ClickElement In the Overview@Test",""
"passed","Mon Oct 16 15:31:13 GMT 2023","Mon Oct 16 15:31:14 GMT 2023","1388","","ClickPageTest","","ClickPageTest","returnBackToMainPage","Return back to MainPage",""
"passed","Mon Oct 16 15:31:14 GMT 2023","Mon Oct 16 15:31:15 GMT 2023","1183","","ClickPageTest","","ClickPageTest","badButtonInitialState","BadButton button is in the initial state",""
"passed","Mon Oct 16 15:31:15 GMT 2023","Mon Oct 16 15:31:16 GMT 2023","797","","ClickPageTest","","ClickPageTest","badButtonIsSucceedAfterClick","BadButton changed the class name",""
"passed","Mon Oct 16 15:31:12 GMT 2023","Mon Oct 16 15:31:13 GMT 2023","881","","MainPageTest","","MainPageTest","checkTitleText","Check page title text",""
