"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 11:52:56 GMT 2023","Fri Dec 15 11:53:00 GMT 2023","3592","","ClickPageTest","","ClickPageTest","returnBackToMainPage","Return back to MainPage",""
"passed","Fri Dec 15 11:53:01 GMT 2023","Fri Dec 15 11:53:02 GMT 2023","356","","MainPageTest","","MainPageTest","checkTitleText","Check page title text",""
"passed","Fri Dec 15 11:53:01 GMT 2023","Fri Dec 15 11:53:01 GMT 2023","417","","MainPageTest","","MainPageTest","checkClickElementInOverview","check ClickElement In the Overview@Test",""
"passed","Fri Dec 15 11:53:01 GMT 2023","Fri Dec 15 11:53:01 GMT 2023","386","","ClickPageTest","","ClickPageTest","badButtonIsSucceedAfterClick","BadButton changed the class name",""
"passed","Fri Dec 15 11:53:00 GMT 2023","Fri Dec 15 11:53:01 GMT 2023","553","","ClickPageTest","","ClickPageTest","badButtonInitialState","BadButton button is in the initial state",""
